DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0173;001730;Alfo PR-G 100 BILD #PRG100;Fujicolor Super HG100 / HQ100;Fujifilm;2;;;;Ringfoto;0;AlfoPRG100.jpg
0171;001714;Alfo PR-G 200 BILD #PRG200;Fujicolor Super HG200 / HQ200;Fujifilm;3;;;;Ringfoto;0;
0170;001700;Alfo PR-G 400 BILD #PRG400;Fujicolor Super HG400 / HQ400;Fujifilm;2;;;;Ringfoto;0;
0274;002743;Amcolor Colour Print Film ISO 100;Agfa Color XRG 100;Agfa;3;Made in Germany;;;AmCal;0;
1843;018433;Amcolor Colour Print Film ISO 100;Agfa Color XRG 100;Agfa;3;Made in Germany;;;AmCal;0;
1843;018523;Amcolor Colour Print Film ISO 100;PERUTZ SC 100 Color (Agfacolor Vista);Agfa;3;Made in Germany;;;AmCal;0;
1849;018493;Amcolor Colour Print Film ISO 400;Perutz SC 400-2;Agfa ?;2;Made in Germany;;;AmCal;0;
0640;006403;Amcolor Film for Colour Prints ISO 100;Konica HD-2-100 . Super SR100;Polaroid;3;Made in Japan;;;AmCal;0;
0272;002721;Argenti Protopan 400+ #400plus;Fomapan ?;;2;;2013;~2016 ??;Foto R3;0;ArgentiProtopan.jpg
1395;013954;Arista EDU Ultra 100;Fomapan Classic 100;Foma;4;;;;Arista;2;AristaEdu100Ultra.jpg
1399;013994;Arista EDU Ultra 400;Fomapan Action 400;Foma;4;;;;Arista;2;AristaEdu400Ultra.jpg
1028;910283;Arista Premium 100;Kodak Plus-X;Kodak, USA;4;Made in USA;;;Arista;0;AristaPremium100.jpg
1029;910293;Arista Premium 400;Kodak Tri-X (400TX);Kodak, USA;4;Made in USA;;;Arista;0;AristaPremium400.jpg
1851;018513;ASDA Color Print Film ISO 200;Agfa Perutz SC-200;;3;;;;Asda Photo;0;
1849;018490;ASDA Color Print Film ISO 400;Agfa Perutz SC-400 ?;;2;;;;Asda Photo;0;
0294;002943;Belmont HR Colour Print Film HR100;Ferrania ?;;1;Made in Italy;;;;0;
1612;016128;Bergger Pancro 400 #Panchro400;Based on BRF+ (Orwo N74). Coated by Inoviscoat, packed by Harman;InovisCoat / Harman for packing;2;;2015 (sheets) 2017 (135 & 120);;Bergger;2;Pancro400.jpg
0462;004623;BI LO Film for Color Prints BILO NH400;Konica VX 400 Super;;3;;;;;0;
0453;004533;Black & Gold Colour Film Print ISO 100;Konica Super VX 100 / SGX 100;;3;;;;;0;
1396;013967;"Black & white can ""High Quality COLOR NEGATIVE FILM"" 400";Solaris Color FG400;Ferrania;3;Film from Italy, Spooled in China;;;;0;HighQUalityColorNEg400.jpg
1850;018503;Black can COULOUR NEGATIVE FILM ISO 400;Perutz Primera 400 / Agfa Vista 400;;3;;;;Fletchers Photographics;0;
0626;706263;Black's Astral 100 ISO;Fujicolor Superia 100 / HR100;;3;;;;Black Photo Corporation Markham, Canada;0;
0140;701403;Black's Astral 100 ISO Premium;Fujicolor Superia 100 / HR100;;3;;;;Black Photo Corporation Markham, Canada;0;
1310;701310;Black's Astral 200 ISO;UNCERTAIN DX NUMBER… Fujicolor Superia 200 / HR200;;2;;;;Black Photo Corporation Markham, Canada;0;
0579;005791;Black's Premium Color Print Film ISO 200 Memories Blacks;FUJICOLOR SUPER G PLUS 200;;3;;;;Black Photo Corporation Markham, Canada;0;
0032;000327;Blue and White can 400 No DX coding, CNK-4 and C-41. ;Sakuracolor SR100;disposable camera ?;1;Made in Japan;;;;0;
0354;003534;Blue Unknown generic can;;;;;;;;0;
0812;008124;BONUSPRINT Activa Colour Print Film ISO 100;Konica Centuria 100;;3;Made in Japan;;;Bonusprint, UK;0;BonusprintActiva100.jpg
0460;004600;BONUSPRINT Activa Colour Print Film ISO 100 (VX);KONICA VX100;;3;Made in Japan;;;Bonusprint, UK;0;BonusprintActiva100.jpg
0813;008130;BONUSPRINT Activa Colour Print Film ISO 200;Konica Centuria 200;;3;Made in Japan;;;Bonusprint, UK;0;BonusPrintActiva200.jpg
